                                     | Core 0     | Core 1      | Core 2     | Core 3    
  Instructions                       |   99421881 |  1096375281 |   25092792 |          0
  Cycles                             |  678538000 |   678538000 |  678538000 |  678538000
  IPC                                |       0.15 |        1.62 |       0.04 |       0.00
  Time (ns)                          |  169634500 |   169634500 |  169634500 |  169634500
  Idle time (ns)                     |  157430694 |    15126012 |  166767610 |  169634500
  Idle time (%)                      |      92.8% |        8.9% |      98.3% |     100.0%
Branch predictor stats               |            |             |            |           
  num correct                        |    5478197 |    96622239 |    1567278 |          0
  num incorrect                      |     126273 |     1734941 |       8041 |          0
  misprediction rate                 |      2.25% |       1.76% |      0.51% |      0.00%
  mpki                               |       1.27 |        1.58 |       0.32 |       0.00
TLB Summary                          |            |             |            |           
  I-TLB                              |            |             |            |           
    num accesses                     |   11050817 |    91587800 |    2793033 |          0
    num misses                       |        537 |          75 |         85 |          0
    miss rate                        |      0.00% |       0.00% |      0.00% |      0.00%
    mpki                             |       0.01 |        0.00 |       0.00 |       0.00
  D-TLB                              |            |             |            |           
    num accesses                     |   25398970 |   256854218 |    7844052 |          0
    num misses                       |       9998 |     1074558 |       2316 |          0
    miss rate                        |      0.04% |       0.42% |      0.03% |      0.00%
    mpki                             |       0.10 |        0.98 |       0.09 |       0.00
  L2 TLB                             |            |             |            |           
    num accesses                     |      10535 |     1074633 |       2401 |          0
    num misses                       |       2960 |       39322 |        950 |          0
    miss rate                        |     28.10% |       3.66% |     39.57% |      0.00%
    mpki                             |       0.03 |        0.04 |       0.04 |       0.00
Cache Summary                        |            |             |            |           
  Cache L1-I                         |            |             |            |           
    num cache accesses               |   11050817 |    91587800 |    2793033 |          0
    num cache misses                 |      18939 |     1817872 |       5262 |          0
    miss rate                        |      0.17% |       1.98% |      0.19% |       inf%
    mpki                             |       0.19 |        1.66 |       0.21 |        inf
  Cache L1-D                         |            |             |            |           
    num cache accesses               |   25398970 |   256854218 |    7844052 |          0
    num cache misses                 |     375805 |     9003664 |     140038 |          0
    miss rate                        |      1.48% |       3.51% |      1.79% |       inf%
    mpki                             |       3.78 |        8.21 |       5.58 |        inf
  Cache L2                           |            |             |            |           
    num cache accesses               |     409189 |    10821595 |     145308 |          0
    num cache misses                 |     365479 |      866304 |     124231 |          0
    miss rate                        |     89.32% |       8.01% |     85.49% |       inf%
    mpki                             |       3.68 |        0.79 |       4.95 |        inf
  Cache L3                           |            |             |            |           
    num cache accesses               |     380514 |      866363 |     124239 |          0
    num cache misses                 |      58324 |       29842 |      44439 |          0
    miss rate                        |     15.33% |       3.44% |     35.77% |       inf%
    mpki                             |       0.59 |        0.03 |       1.77 |        inf
DRAM summary                         |            |             |            |           
  num dram accesses                  |     134183 |           0 |          0 |          0
  average dram access latency (ns)   |   14502.54 |         inf |        inf |        inf
  average dram queueing delay        |   14449.11 |        0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |       0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |             |            |           
  num loads from dram                |      28270 |        4953 |       6273 |          0
  num loads from dram cache          |          0 |           0 |          0 |          0
  num loads from remote cache        |          0 |           0 |          0 |          0
