name                  filter                                      config                                                                                       tasks      cores    clockspeed    sim. time (ns)    avg resp time (ns)    peak power / thread (W)    avg power (W)    energy (J)    peak temperature (C)
parsec-bodytrack      2.0GHz+asymmetric+asymmetrySlave+slowDVFS   parsec-bodytrack-simsmall-1                                                                  parsec         3             2         633307300             633307354                   0.748772          2.5069       1.58764                  52.3462
parsec-bodytrack      2.0GHz+asymmetric+asymmetrySlave+slowDVFS   parsec-bodytrack-simsmall-2                                                                  parsec         4             2         337227100             337227176                   0.767938          2.87862      0.970748                 53.3521
parsec-x264           2.0GHz+maxFreq+2arrivals                    parsec-x264-simsmall-1,parsec-x264-simsmall-1                                                parsec         1             2         123127200             123117999                   1.95507          18.2743       2.25006                 156.569
parsec-x264           2.0GHz+maxFreq+3arrivals                    parsec-x264-simsmall-1,parsec-x264-simsmall-1,parsec-x264-simsmall-1                         parsec         1             2         239479800             239276664                   0.554996          7.99059      1.91359                  75.0971
parsec-x264           2.0GHz+maxFreq+4arrivals                    parsec-x264-simsmall-1,parsec-x264-simsmall-1,parsec-x264-simsmall-1,parsec-x264-simsmall-1  parsec         1             2         244641300             244503892                   0.551037          9.58557      2.34503                  74.5011
parsec-blackscholes   2.0GHz+maxFreq+slowDVFS+coldestCore         parsec-blackscholes-simsmall-3                                                               parsec         4             2          45932100              45932103                   0.622234          7.01685      0.322299                 74.5267
parsec-bodytrack      2.0GHz+maxFreq+slowDVFS+coldestCore         parsec-bodytrack-simsmall-2                                                                  parsec         4             2         180378100             180378112                   0.762637          6.68207      1.2053                   80.9911
parsec-canneal        2.0GHz+maxFreq+slowDVFS+coldestCore         parsec-canneal-simsmall-3                                                                    parsec         4             2         956730300             956730314                   1.26917           3.78604      3.62222                  60.0175
parsec-dedup          2.0GHz+maxFreq+slowDVFS+coldestCore         parsec-dedup-simsmall-1                                                                      parsec         4             2        1265093100            1265093174                   0.889034          4.99348      6.31722                  70.9006
parsec-streamcluster  2.0GHz+maxFreq+slowDVFS+coldestCore         parsec-streamcluster-simsmall-3                                                              parsec         4             2         174863900             174863972                   1.05805           7.80049      1.36402                  69.727
parsec-swaptions      2.0GHz+maxFreq+slowDVFS+coldestCore         parsec-swaptions-simsmall-3                                                                  parsec         4             2         106546600             106546641                   0.516409          8.18455      0.872036                 77.3092
parsec-x264           2.0GHz+maxFreq+slowDVFS+coldestCore         parsec-x264-simsmall-3                                                                       parsec         4             2         116661800             116661894                   0.805278          6.11597      0.7135                   75.4567
parsec-blackscholes   2.0GHz+maxFreq+slowDVFS                     parsec-blackscholes-simsmall-1                                                               parsec         2             2          53576600              53576630                   2.33228          12.3713       0.662814                156.288
parsec-blackscholes   2.0GHz+maxFreq+slowDVFS                     parsec-blackscholes-simsmall-2                                                               parsec         3             2          30710700              30710790                   2.33121          17.6535       0.542151                154.206
parsec-blackscholes   2.0GHz+maxFreq+slowDVFS                     parsec-blackscholes-simsmall-3                                                               parsec         4             2          23518900              23518904                   2.31336          21.4423       0.504299                152.927
parsec-bodytrack      2.0GHz+maxFreq+slowDVFS                     parsec-bodytrack-simsmall-1                                                                  parsec         3             2         169526100             169526169                   2.47308          13.3647       2.26566                 179.21
parsec-bodytrack      2.0GHz+maxFreq+slowDVFS                     parsec-bodytrack-simsmall-2                                                                  parsec         4             2          93231200              93231218                   2.46184          19.8604       1.85161                 176.882
parsec-canneal        2.0GHz+maxFreq+slowDVFS                     parsec-canneal-simsmall-1                                                                    parsec         2             2         675119000             675119092                   3.11514           8.08757      5.46007                  91.2059
parsec-canneal        2.0GHz+maxFreq+slowDVFS                     parsec-canneal-simsmall-2                                                                    parsec         3             2         608577500             608577553                   3.11767           8.38027      5.10005                  91.8264
parsec-canneal        2.0GHz+maxFreq+slowDVFS                     parsec-canneal-simsmall-3                                                                    parsec         4             2         586942300             586942333                   3.11381           8.4898       4.98303                  92.0369
parsec-dedup          2.0GHz+maxFreq+slowDVFS                     parsec-dedup-simsmall-1                                                                      parsec         4             2         849414100             849414196                   3.72044          11.6389       9.88627                 119.807
parsec-fluidanimate   2.0GHz+maxFreq+slowDVFS                     parsec-fluidanimate-simsmall-1                                                               parsec         2             2         378847300             378847329                   4.85761           9.7674       3.70035                 117.444
parsec-fluidanimate   2.0GHz+maxFreq+slowDVFS                     parsec-fluidanimate-simsmall-2                                                               parsec         3             2         203408900             203408996                   4.87404          13.7676       2.80045                 122.004
