                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  713788527 |          0 |          0 |          0
  Cycles                             |  469776000 |  469776000 |  469776000 |  469776000
  IPC                                |       1.52 |       0.00 |       0.00 |       0.00
  Time (ns)                          |  117444000 |  117444000 |  117444000 |  117444000
  Idle time (ns)                     |       4612 |  117444000 |  117444000 |  117444000
  Idle time (%)                      |       0.0% |     100.0% |     100.0% |     100.0%
Branch predictor stats               |            |            |            |           
  num correct                        |   22443817 |          0 |          0 |          0
  num incorrect                      |    4224129 |          0 |          0 |          0
  misprediction rate                 |     15.84% |      0.00% |      0.00% |      0.00%
  mpki                               |       5.92 |       0.00 |       0.00 |       0.00
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   74872576 |          0 |          0 |          0
    num misses                       |      10196 |          0 |          0 |          0
    miss rate                        |      0.01% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |  249859618 |          0 |          0 |          0
    num misses                       |     927719 |          0 |          0 |          0
    miss rate                        |      0.37% |      0.00% |      0.00% |      0.00%
    mpki                             |       1.30 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |           
    num accesses                     |     937915 |          0 |          0 |          0
    num misses                       |     157840 |          0 |          0 |          0
    miss rate                        |     16.83% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.22 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   74872576 |          0 |          0 |          0
    num cache misses                 |    5491599 |          0 |          0 |          0
    miss rate                        |      7.33% |       inf% |       inf% |       inf%
    mpki                             |       7.69 |        inf |        inf |        inf
  Cache L1-D                         |            |            |            |           
    num cache accesses               |  249859618 |          0 |          0 |          0
    num cache misses                 |    6044122 |          0 |          0 |          0
    miss rate                        |      2.42% |       inf% |       inf% |       inf%
    mpki                             |       8.47 |        inf |        inf |        inf
  Cache L2                           |            |            |            |           
    num cache accesses               |   11540712 |          0 |          0 |          0
    num cache misses                 |    2525991 |          0 |          0 |          0
    miss rate                        |     21.89% |       inf% |       inf% |       inf%
    mpki                             |       3.54 |        inf |        inf |        inf
  Cache L3                           |            |            |            |           
    num cache accesses               |    2537107 |          0 |          0 |          0
    num cache misses                 |     259013 |          0 |          0 |          0
    miss rate                        |     10.21% |       inf% |       inf% |       inf%
    mpki                             |       0.36 |        inf |        inf |        inf
DRAM summary                         |            |            |            |           
  num dram accesses                  |     344871 |          0 |          0 |          0
  average dram access latency (ns)   |    1349.09 |        inf |        inf |        inf
  average dram queueing delay        |    1295.66 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      2.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |     127420 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
