                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   49849556 |  272235023 |          0 |          0
  Cycles                             |  425975600 |  425975600 |  425975600 |  425975600
  IPC                                |       0.12 |       0.64 |       0.00 |       0.00
  Time (ns)                          |  106493900 |  106493900 |  106493900 |  106493900
  Idle time (ns)                     |   90322712 |   16188872 |  106493900 |  106493900
  Idle time (%)                      |      84.8% |      15.2% |     100.0% |     100.0%
Branch predictor stats               |            |            |            |           
  num correct                        |    8253454 |   15588462 |          0 |          0
  num incorrect                      |     535996 |     388892 |          0 |          0
  misprediction rate                 |      6.10% |      2.43% |      0.00% |      0.00%
  mpki                               |      10.75 |       1.43 |       0.00 |       0.00
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |    7573037 |   30428887 |          0 |          0
    num misses                       |        124 |         25 |          0 |          0
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |   17196958 |   80061976 |          0 |          0
    num misses                       |      12420 |        114 |          0 |          0
    miss rate                        |      0.07% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.25 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |           
    num accesses                     |      12544 |        139 |          0 |          0
    num misses                       |        299 |        111 |          0 |          0
    miss rate                        |      2.38% |     79.86% |      0.00% |      0.00%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |    7573037 |   30428887 |          0 |          0
    num cache misses                 |       2406 |        155 |          0 |          0
    miss rate                        |      0.03% |      0.00% |       inf% |       inf%
    mpki                             |       0.05 |       0.00 |        inf |        inf
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   17196958 |   80061976 |          0 |          0
    num cache misses                 |      11011 |     246301 |          0 |          0
    miss rate                        |      0.06% |      0.31% |       inf% |       inf%
    mpki                             |       0.22 |       0.90 |        inf |        inf
  Cache L2                           |            |            |            |           
    num cache accesses               |      13508 |     246456 |          0 |          0
    num cache misses                 |      10137 |       2404 |          0 |          0
    miss rate                        |     75.04% |      0.98% |       inf% |       inf%
    mpki                             |       0.20 |       0.01 |        inf |        inf
  Cache L3                           |            |            |            |           
    num cache accesses               |      10232 |       2404 |          0 |          0
    num cache misses                 |       8705 |        627 |          0 |          0
    miss rate                        |     85.08% |     26.08% |       inf% |       inf%
    mpki                             |       0.17 |       0.00 |        inf |        inf
DRAM summary                         |            |            |            |           
  num dram accesses                  |       9332 |          0 |          0 |          0
  average dram access latency (ns)   |     112.25 |        inf |        inf |        inf
  average dram queueing delay        |      58.82 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |       2510 |        510 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
